leech 3869.624268 -233.917770 -59.855480 0.000000 -30.000000 0.000000 0.085663 0.000000 0.996324 0.000000 0.000000 0.000000
mgturret -452.678253 -545.492126 98.125000 0.000000 -20.000000 0.000000 0.000000 0.000000 1.000000 0.000000 180.000000 0.000000
telenode 532.626587 -1761.637695 -443.875000 0.000000 -48.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret -568.282715 -15.648621 84.125000 0.000000 -49.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
drill -64.232925 -1866.454346 212.125000 0.000000 27.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
medistat -679.247803 203.304626 64.125000 0.000000 143.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret -897.120972 -896.930786 20.125000 0.000000 -48.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret -687.667603 -435.623322 20.125000 0.000000 -7.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
rocketpod -596.988586 -731.583252 148.125000 0.000000 97.000000 0.000000 0.000000 0.000000 1.000000 0.000001 0.000000 0.000000
leech 1943.920410 243.493332 358.875000 0.000000 158.000000 146.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
leech -132.545975 444.312653 212.125000 0.000000 -164.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
leech -1187.023804 -2857.514160 189.125000 0.000000 -149.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
acid_tube -115.701935 -1864.937378 212.125000 0.000000 64.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
leech 1422.253052 -1397.295898 215.834961 0.000000 163.000000 89.000000 0.928477 0.371391 0.000000 0.000000 0.000000 0.000000
hive -79.267426 -1917.523071 209.125000 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
acid_tube -268.679810 -1865.524902 210.125000 0.000000 156.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod -1187.049927 -2613.774658 137.875000 0.000000 133.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
eggpod -1180.211792 -2616.298096 -8.300083 0.000000 158.000000 0.000000 0.000000 -0.668965 0.743294 0.000000 0.000000 0.000000
booster -1042.820435 -2676.591797 -70.875000 0.000000 155.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
barricade -837.374878 -2723.413818 -64.875000 0.000000 155.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
